rank,fiscal_year,posting_date,agency,category1,payee,appropriation_1_name,amount,risk_score,markers,verify_status,overtaker_interest,public_context
874,2023,2022-10-12,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,BORDER SECURITY FENCE AND TECHNOLOGIES,2000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
875,2025,2025-07-14,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ACCOUNTABILITY & ACHIEVEMENT TESTING PROP 301,2000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
876,2025,2025-07-14,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,STATEWIDE ASSESSMENT SUPPLEMENTAL - SPECIAL FUND,2000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
877,2019,2018-08-06,LOTTERY COMMISSION,CAPITAL EQUIPMENT,SCIENTIFIC GAMES INTERNATIONAL,,2000000.0000,6.0,round_1m,screened_unreviewed,,
878,2021,2021-03-04,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,FEDERAL GRANTS,2000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
879,2025,2025-07-03,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,SPECIAL ED INSTITUTIONAL VOUCHER FD,2000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
880,2018,2018-03-23,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1960040.3500,6.0,manual_rail_disc,screened_unreviewed,,
881,2019,2018-10-25,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1959170.6400,6.0,manual_rail_disc,screened_unreviewed,,
882,2019,2018-07-19,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1957465.4400,6.0,manual_rail_disc,screened_unreviewed,,
883,2018,2018-02-01,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1956206.3600,6.0,manual_rail_disc,screened_unreviewed,,
884,2019,2018-09-19,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1951894.1300,6.0,manual_rail_disc,screened_unreviewed,,
885,2019,2018-12-20,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1951318.9300,6.0,manual_rail_disc,screened_unreviewed,,
886,2018,2018-04-19,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1950885.2500,6.0,manual_rail_disc,screened_unreviewed,,
887,2024,2023-10-11,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,SHI INTERNATIONAL CORP,FEDERAL GRANTS,1949977.3500,6.0,peer_outlier,screened_unreviewed,,
888,2018,2018-06-22,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1944310.6700,6.0,manual_rail_disc,screened_unreviewed,,
889,2018,2018-05-24,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1944000.4300,6.0,manual_rail_disc,screened_unreviewed,,
890,2019,2018-11-23,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1943331.2600,6.0,manual_rail_disc,screened_unreviewed,,
891,2020,2019-08-29,DEPT OF PUBLIC SAFETY,PROFESSIONAL AND OUTSIDE SERVICES,CDW GOVERNMENT INC,,1942596.6300,6.0,peer_outlier,screened_unreviewed,,
892,2019,2018-08-23,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1941716.2300,6.0,manual_rail_disc,screened_unreviewed,,
893,2025,2024-12-18,BOARD OF NURSING,PROFESSIONAL AND OUTSIDE SERVICES,BANNER HEALTH FOUNDATION,BNA PRIVATE GRANTS AND DONATIONS,1933648.2700,6.0,peer_outlier,screened_unreviewed,,
894,2018,2017-11-03,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1910388.6500,6.0,manual_rail_disc,screened_unreviewed,,
895,2018,2018-02-23,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1896718.2500,6.0,manual_rail_disc,screened_unreviewed,,
896,2018,2017-12-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1883083.6000,6.0,manual_rail_disc,screened_unreviewed,,
897,2019,2019-02-25,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1879605.6700,6.0,manual_rail_disc,screened_unreviewed,,
898,2019,2019-04-18,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1879516.9400,6.0,manual_rail_disc,screened_unreviewed,,
899,2018,2017-07-31,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1879262.0000,6.0,manual_rail_disc,screened_unreviewed,,
900,2019,2019-01-22,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1878520.5900,6.0,manual_rail_disc,screened_unreviewed,,
901,2023,2023-04-25,DEPT OF CHILD SAFETY,PROFESSIONAL AND OUTSIDE SERVICES,INTERNATIONAL BUSINESS MACHINES CORP,DCS NON-APPROPRIATED- OPERATING CLEARING,1877956.9800,6.0,peer_outlier,screened_unreviewed,,
902,2019,2019-03-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1876945.0900,6.0,manual_rail_disc,screened_unreviewed,,
903,2019,2019-06-20,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1876806.2800,6.0,manual_rail_disc,screened_unreviewed,,
904,2018,2017-12-01,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1872096.9900,6.0,manual_rail_disc,screened_unreviewed,,
905,2017,2016-11-25,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1870621.7200,6.0,manual_rail_disc,screened_unreviewed,,
906,2024,2023-09-27,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ARPA-HCBS DES FED,1870000.0000,6.0,manual_rail_disc,screened_unreviewed,,
907,2025,2025-06-27,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DES ARPA INITIATIVES,1870000.0000,6.0,manual_rail_disc,screened_unreviewed,,
908,2024,2024-06-24,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DES ARPA INITIATIVES,1870000.0000,6.0,manual_rail_disc,screened_unreviewed,,
909,2023,2023-02-07,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DES ARPA INITIATIVES,1870000.0000,6.0,manual_rail_disc,screened_unreviewed,,
910,2023,2023-02-07,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DES ARPA INITIATIVES,1870000.0000,6.0,manual_rail_disc,screened_unreviewed,,
911,2017,2017-02-01,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1864695.3400,6.0,manual_rail_disc,screened_unreviewed,,
912,2018,2017-08-31,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1864165.7800,6.0,manual_rail_disc,screened_unreviewed,,
913,2017,2016-12-22,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1861482.5100,6.0,manual_rail_disc,screened_unreviewed,,
914,2017,2017-06-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1859411.4300,6.0,manual_rail_disc,screened_unreviewed,,
915,2018,2017-09-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1859007.3100,6.0,manual_rail_disc,screened_unreviewed,,
916,2019,2019-05-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1856516.5500,6.0,manual_rail_disc,screened_unreviewed,,
917,2017,2017-03-31,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1851877.9600,6.0,manual_rail_disc,screened_unreviewed,,
918,2017,2017-05-04,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1849403.0000,6.0,manual_rail_disc,screened_unreviewed,,
919,2020,2019-07-26,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1849157.1600,6.0,manual_rail_disc,screened_unreviewed,,
920,2020,2019-10-24,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1848742.7000,6.0,manual_rail_disc,screened_unreviewed,,
921,2017,2016-10-25,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1847254.7600,6.0,manual_rail_disc,screened_unreviewed,,
922,2020,2019-09-19,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1845526.7200,6.0,manual_rail_disc,screened_unreviewed,,
923,2017,2017-02-27,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1838563.9500,6.0,manual_rail_disc,screened_unreviewed,,
924,2020,2019-08-21,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1837745.9800,6.0,manual_rail_disc,screened_unreviewed,,
925,2017,2017-06-14,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1836016.7100,6.0,manual_rail_disc,screened_unreviewed,,
926,2017,2016-07-28,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1823684.6400,6.0,manual_rail_disc,screened_unreviewed,,
927,2017,2016-08-30,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1815627.1600,6.0,manual_rail_disc,screened_unreviewed,,
928,2021,2020-12-03,DEPT OF TRANSPORTATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ATTORNEY GENERAL LEGAL SERVICES,1811850.0000,6.0,manual_rail_disc,screened_unreviewed,,
929,2017,2016-09-27,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1811806.0800,6.0,manual_rail_disc,screened_unreviewed,,
930,2016,2016-06-27,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1811501.9200,6.0,manual_rail_disc,screened_unreviewed,,
931,2020,2019-12-19,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1805909.5800,6.0,manual_rail_disc,screened_unreviewed,,
932,2025,2025-02-12,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EDUCATION FOR THE DISADVANTAGED,1805257.7400,6.0,manual_rail_disc,screened_unreviewed,,
933,2024,2024-03-20,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,TEACH FOR AMERICA,ALTERNATIVE TEACHER DEVELOPMENT PROGRAM,1800000.0000,6.0,round_100k,screened_unreviewed,,
934,2016,2016-02-26,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1799669.7000,6.0,manual_rail_disc,screened_unreviewed,,
935,2016,2016-05-26,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1797708.9200,6.0,manual_rail_disc,screened_unreviewed,,
936,2016,2016-04-28,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1796710.4500,6.0,manual_rail_disc,screened_unreviewed,,
937,2016,2015-12-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1790631.5600,6.0,manual_rail_disc,screened_unreviewed,,
938,2020,2019-11-22,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1790299.6400,6.0,manual_rail_disc,screened_unreviewed,,
939,2016,2015-11-25,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1787643.0000,6.0,manual_rail_disc,screened_unreviewed,,
940,2016,2015-10-28,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1780150.0100,6.0,manual_rail_disc,screened_unreviewed,,
941,2016,2016-01-28,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1775187.4000,6.0,manual_rail_disc,screened_unreviewed,,
942,2016,2016-03-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1769202.2900,6.0,manual_rail_disc,screened_unreviewed,,
943,2016,2015-08-27,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1764771.4100,6.0,manual_rail_disc,screened_unreviewed,,
944,2016,2015-08-13,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1763038.0500,6.0,manual_rail_disc,screened_unreviewed,,
945,2020,2020-05-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1758978.9300,6.0,manual_rail_disc,screened_unreviewed,,
946,2016,2015-09-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,,HEALTH INSURANCE SUBSIDY,1748815.3800,6.0,manual_rail_disc,screened_unreviewed,,
947,2020,2020-06-30,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1743421.6100,6.0,manual_rail_disc,screened_unreviewed,,
948,2020,2020-01-23,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1742147.2000,6.0,manual_rail_disc,screened_unreviewed,,
949,2020,2020-03-25,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1740244.2100,6.0,manual_rail_disc,screened_unreviewed,,
950,2020,2020-04-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1738569.3000,6.0,manual_rail_disc,screened_unreviewed,,
951,2021,2020-07-24,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1737334.5500,6.0,manual_rail_disc,screened_unreviewed,,
952,2020,2020-02-27,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1727342.9900,6.0,manual_rail_disc,screened_unreviewed,,
953,2021,2020-08-26,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1724976.1500,6.0,manual_rail_disc,screened_unreviewed,,
954,2021,2020-10-27,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1707059.0100,6.0,manual_rail_disc,screened_unreviewed,,
955,2025,2025-05-21,DEPT OF FORESTRY AND FIRE MANAGEMENT,PROFESSIONAL AND OUTSIDE SERVICES,N/A,CO-OP FEDERAL GRANTS,1705844.5200,6.0,manual_rail_disc,screened_unreviewed,,
956,2025,2025-05-21,DEPT OF FORESTRY AND FIRE MANAGEMENT,PROFESSIONAL AND OUTSIDE SERVICES,N/A,CO-OP FEDERAL GRANTS,1705844.5200,6.0,manual_rail_disc,screened_unreviewed,,
957,2024,2024-04-11,DEPT OF FORESTRY AND FIRE MANAGEMENT,PROFESSIONAL AND OUTSIDE SERVICES,N/A,CO-OP FEDERAL GRANTS,1705844.5200,6.0,manual_rail_disc,screened_unreviewed,,
958,2019,2018-12-07,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,PUBLIC CONSULTING GROUP INC,,1701610.4900,6.0,peer_outlier,screened_unreviewed,,
959,2021,2020-09-28,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1701548.7700,6.0,manual_rail_disc,screened_unreviewed,,
960,2021,2020-12-02,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1701175.8500,6.0,manual_rail_disc,screened_unreviewed,,
961,2024,2024-01-26,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,CARAHSOFT TECHNOLOGY CORP,FEDERAL GRANTS,1698903.2500,6.0,peer_outlier,screened_unreviewed,,
962,2021,2020-12-31,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1686241.8200,6.0,manual_rail_disc,screened_unreviewed,,
963,2019,2019-04-10,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1686051.2500,6.0,manual_rail_disc,screened_unreviewed,,
964,2019,2019-06-20,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1675517.4000,6.0,manual_rail_disc,screened_unreviewed,,
965,2021,2021-05-07,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,VALORIT,DERS OPER NON-APPR,1649207.2200,6.0,peer_outlier,screened_unreviewed,,
966,2021,2021-01-28,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1646011.7600,6.0,manual_rail_disc,screened_unreviewed,,
967,2021,2021-04-12,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,VALORIT,DERS OPER NON-APPR,1637050.8700,6.0,peer_outlier,screened_unreviewed,,
968,2017,2017-03-03,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,,ARIZONA STATE HOSPITAL - OPERATING,1635078.2200,6.0,manual_rail_disc,screened_unreviewed,,
969,2025,2024-11-27,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,DELOITTE CONSULTING,DCSS OPERATING LUMP SUM 2091,1634129.9000,6.0,peer_outlier,mixed,2,"Deloitte Consulting LLP is one of the Big Four professional-services firms and a leading government IT systems integrator; it commonly holds multi-year state contracts for replacing legacy child-support, eligibility, and enterprise application systems."
970,2020,2020-06-25,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1618600.0000,6.0,manual_rail_disc,screened_unreviewed,,
971,2020,2020-05-20,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,PUBLIC CONSULTING GROUP INC,,1586587.0900,6.0,peer_outlier,screened_unreviewed,,
972,2021,2021-05-27,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1567773.6700,6.0,manual_rail_disc,screened_unreviewed,,
973,2021,2021-06-28,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1558521.2200,6.0,manual_rail_disc,screened_unreviewed,,
974,2019,2019-06-25,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1556507.6000,6.0,manual_rail_disc,screened_unreviewed,,
975,2016,2016-03-07,DEPT OF ADMINISTRATION,PROFESSIONAL AND OUTSIDE SERVICES,,WORKERS COMPENSATION LOSSES  PREMIUMS,1544374.1200,6.0,manual_rail_disc,screened_unreviewed,,
976,2024,2023-09-01,OFFICE OF ECONOMIC OPPORTUNITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ISA,1536681.3000,6.0,manual_rail_disc,screened_unreviewed,,
977,2021,2021-04-29,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1522929.1900,6.0,manual_rail_disc,screened_unreviewed,,
978,2021,2021-03-26,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1516382.2400,6.0,manual_rail_disc,screened_unreviewed,,
979,2023,2023-06-21,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ASH-DOC,1500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
980,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
981,2021,2020-07-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,ARIZONA STATE UNIVERSITY,PUBLIC HEALTH EMERGENCIES,1500000.0000,6.0,round_100k,false_positive_marker,2,Arizona State University is a public research university; its Biodesign Institute operated Arizona's statewide COVID-19 saliva-based testing program under contract with the AZ Dept of Health Services during the pandemic.
982,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
983,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
984,2020,2020-04-21,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
985,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
986,2019,2019-04-25,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,"CORIZON, INC.",,1500000.0000,6.0,round_100k,screened_unreviewed,,
987,2023,2022-08-05,DEPT OF CHILD SAFETY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DCS OPERATING LUMP SUM-2007,1493666.0500,6.0,manual_rail_disc,screened_unreviewed,,
988,2021,2021-02-25,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE SUBSIDY,1490266.1600,6.0,manual_rail_disc,screened_unreviewed,,
989,2017,2017-03-03,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,,ARIZONA STATE HOSPITAL - OPERATING,1486379.4800,6.0,manual_rail_disc,screened_unreviewed,,
990,2025,2025-02-21,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,FEDERAL GRANTS,1486077.2900,6.0,manual_rail_disc,screened_unreviewed,,
991,2023,2023-05-09,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,FEDERAL GRANTS,1480008.5800,6.0,manual_rail_disc,screened_unreviewed,,
992,2023,2022-08-05,DEPT OF CHILD SAFETY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DCS - CASEWORKERS - 2007,1479341.5700,6.0,manual_rail_disc,screened_unreviewed,,
993,2018,2018-06-07,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DDD LTC MATCH,1477439.5800,6.0,manual_rail_disc,screened_unreviewed,,
994,2021,2021-06-18,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ADMN OCCP CLR 4000,1463503.7700,6.0,manual_rail_disc,screened_unreviewed,,
995,2021,2021-03-23,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ADMN OCCP CLR 4000,1463503.7700,6.0,manual_rail_disc,screened_unreviewed,,
996,2019,2018-08-16,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,PUBLIC CONSULTING GROUP INC,,1455543.7800,6.0,peer_outlier,screened_unreviewed,,
997,2025,2025-01-23,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ARIZONA STATE HOSPITAL - OPERATING,1453162.8800,6.0,manual_rail_disc,screened_unreviewed,,
998,2019,2018-12-05,SECRETARY OF STATE (DEPT OF STATE),PROFESSIONAL AND OUTSIDE SERVICES,RR DONNELLEY,,1444573.6300,6.0,peer_outlier,screened_unreviewed,,
999,2023,2022-08-02,ARIZONA STATE RETIREMENT SYSTEM (ASRS),PROFESSIONAL AND OUTSIDE SERVICES,N/A,HEALTH INSURANCE,1428310.6000,6.0,manual_rail_disc,screened_unreviewed,,
